regime,arm,width,head_mult,seed,threshold,step,loss,acc_train,gnorm_theta,gnorm_phi,disp,wall_s,probe_val,probe_test,acc_iid_val,acc_reversed_val,acc_ctx_random_val,acc_spec_only_val,acc_iid_test,acc_reversed_test,acc_ctx_random_test,acc_spec_only_test,status,lr,tau,reached_star
ready,ctxfree,128,1,0,init,0,0.6861859560012817,0.5481283068656921,0.1288602501153946,0.6239720675705767,0.0,0.010769844055175781,0.9147442326980942,0.9737179487179487,0.6957539319992065,0.7298561930656433,0.7104647159576416,0.6583082675933838,0.7442308068275452,0.8038461804389954,0.7717949151992798,0.7221153974533081,stopped,0.001,1.89166259765625,True
ready,ctxfree,128,1,0,0.6,392,0.5998630523681641,0.767379641532898,0.2276291400194168,0.4060098108372135,0.019072843715548515,3.868441581726074,0.9154129053828151,0.975,0.7435640096664429,0.7716482877731323,0.7566031217575073,0.7281845211982727,0.7993590235710144,0.8272436261177063,0.8163461685180664,0.7817307710647583,stopped,0.001,1.89166259765625,True
ready,ctxfree,128,1,0,0.5,839,0.4998879134654999,0.8141710758209229,0.264033704996109,0.37536642786196833,0.05109470710158348,8.255170822143555,0.9157472417251755,0.975,0.8087595701217651,0.823136031627655,0.8157806396484375,0.7866933941841125,0.8608974814414978,0.8778846263885498,0.8685897588729858,0.8189103007316589,stopped,0.001,1.89166259765625,True
ready,ctxfree,128,1,0,0.4,1513,0.39999791979789734,0.8453654050827026,0.1789529174566269,0.2467591559808184,0.09264637529850006,14.874424934387207,0.9154129053828151,0.9746794871794872,0.8395185470581055,0.8431962132453918,0.8435305953025818,0.823136031627655,0.901602566242218,0.915705144405365,0.9099359512329102,0.8676282167434692,stopped,0.001,1.89166259765625,True
ready,ctxfree,128,1,0,0.3,4275,0.29999399185180664,0.888146162033081,0.09725681692361832,0.10395590970354313,0.1612693965435028,41.78785514831543,0.9170845870946172,0.9746794871794872,0.8682714700698853,0.8726178407669067,0.8709461688995361,0.8589100241661072,0.951602578163147,0.9615384936332703,0.9567307829856873,0.9490385055541992,stopped,0.001,1.89166259765625,True
ready,ctxfree,128,1,0,0.2,11098,0.19999660551548004,0.9264705777168274,0.05057981237769127,0.07823546356845337,0.26369792222976685,105.55668187141418,0.9187562688064193,0.9737179487179487,0.905717134475708,0.9063857793807983,0.9043797850608826,0.8963556885719299,0.9727564454078674,0.9743589758872986,0.9733974933624268,0.9663462042808533,stopped,0.001,1.89166259765625,True
ready,ctxfree,128,1,0,0.15,20211,0.14999647438526154,0.9465240240097046,0.031912557780742645,0.060269610737186764,0.33471396565437317,173.54238271713257,0.9214309595453025,0.9730769230769231,0.9120694994926453,0.9107321500778198,0.9100635051727295,0.9100635051727295,0.9733974933624268,0.9730769395828247,0.9721153974533081,0.9714744091033936,stopped,0.001,1.89166259765625,True
ready,ctxfree,128,1,0,0.1,31533,0.09999893605709076,0.9647949934005737,0.032557398080825806,0.06522975380872753,0.40496212244033813,261.6102795600891,0.9227683049147442,0.9730769230769231,0.9103978276252747,0.9170845746994019,0.914409875869751,0.9187562465667725,0.9717949032783508,0.968910276889801,0.9695513248443604,0.9711538553237915,stopped,0.001,1.89166259765625,True
ready,ctxfree,128,1,0,final,31533,0.09999893605709076,0.9647949934005737,0.032557398080825806,0.06522975380872753,0.40496212244033813,261.64500284194946,0.9227683049147442,0.9730769230769231,0.9103978276252747,0.9170845746994019,0.914409875869751,0.9187562465667725,0.9717949032783508,0.968910276889801,0.9695513248443604,0.9711538553237915,stopped,0.001,1.89166259765625,True
